"ID","Operator","Short name","Contact email for complaints (this is the most important data to collect!)","Status","Company Number","Company's Registered Postal Address","Notes/Observations of Interest","URL","Number of Routes we think this operator runs (for sorting)","Non-functional URL - has list of routes"
2592,"(Operated by Clarkes Coaches)","Rail Linc",,,,,,,1,"http://transport.mysociety.org/operators/2592"
2631,"(Operated by Llynfi Coaches)","Rail Linc",,,,,,,1,"http://transport.mysociety.org/operators/2631"
2795,"3D Coaches","3D Coaches",,,,,,,2,"http://transport.mysociety.org/operators/2795"
2744,"A + J Ballantyne","A + J Ballantyne",,"X",,"150, Clydesdale St, Mossend,  Bellshill, Lanarkshire ML4 2RS ","No email found.",,1,"http://transport.mysociety.org/operators/2744"
3120,"A A Travel","A A Travel",,,,,,,3,"http://transport.mysociety.org/operators/3120"
3724,"A Line","A Line",,,,,,,5,"http://transport.mysociety.org/operators/3724"
2321,"A Soames & Sons","A Soames & Sons",,,,,"No email found.See http://sitebuilder.yell.com/sb/show.do?id=SB0001921481000020",,1,"http://transport.mysociety.org/operators/2321"
3696,"A-Line Coaches, (Coventry)","A LINE COACHES, (Coventr",,,,,,,12,"http://transport.mysociety.org/operators/3696"
1812,"A. C. Aldis and Company","A. C. Aldis and Company",,,,,,,3,"http://transport.mysociety.org/operators/1812"
3193,"A.1.A TRAVEL","A1A Travel",,,,,,,2,"http://transport.mysociety.org/operators/3193"
1841,"A.1.A.TRAVEL","A.1.A. Travel",,,,,,,11,"http://transport.mysociety.org/operators/1841"
2450,"A1 Coaches","A1 Coaches",,,,,,,15,"http://transport.mysociety.org/operators/2450"
3914,"A1 Mini Coaches","A1 Mini Coaches",,,,,,,11,"http://transport.mysociety.org/operators/3914"
2903,"A2B TRAVEL","A2B Travel",,,,,,,9,"http://transport.mysociety.org/operators/2903"
2718,"Abacus Coaches, Grantham","Abacus Coaches",,"X",,,"No email found.",,1,"http://transport.mysociety.org/operators/2718"
2112,"Abbey Cars","Abbey Cars",,"X",,"Canns Hill, Abbeydore, Herefordshire HR2 0AQ","Aka Gillanders. No email found.",,1,"http://transport.mysociety.org/operators/2112"
3086,"Abbey Coaches (Darwen) Ltd","Abbey Coaches (Darwin)",,,,,,,6,"http://transport.mysociety.org/operators/3086"
2801,"ABBEY TAXIS","ABBEY TAXIS",,"M",,,"Not enough location data for search",,1,"http://transport.mysociety.org/operators/2801"
2678,"Abbotts Of Leeming","Abbotts Of Leeming","tours@abbottscoaches.co.uk",,,,,,7,"http://transport.mysociety.org/operators/2678"
3238,"ABC Cab Company","ABC Cab Company",,,,,,,2,"http://transport.mysociety.org/operators/3238"
2426,"ABC Coaches Ltd","ABC Coaches Ltd",,,,,,,8,"http://transport.mysociety.org/operators/2426"
2724,"ABC Travel","ABC Travel",,,,,,,7,"http://transport.mysociety.org/operators/2724"
2768,"Aberfoyle Motors","Aberfoyle Motors",,,,,,,3,"http://transport.mysociety.org/operators/2768"
1878,"ACE TRAVEL","Ace Travel",,,,,,,14,"http://transport.mysociety.org/operators/1878"
1874,"ACE TRAVEL","Ace Travel",,,,,,,2,"http://transport.mysociety.org/operators/1874"
2421,"Acklams Coaches","Acklams Coaches",,,,,,,5,"http://transport.mysociety.org/operators/2421"
1977,"Acorn Travel","Acorn Travel",,,,,,,6,"http://transport.mysociety.org/operators/1977"
2079,"Adams Travel","Adams Travel",,"X",6089918,"68 St. Marys Road, Manningham, Bradford BD9 4QE","No email found.",,1,"http://transport.mysociety.org/operators/2079"
2016,"ADAPT","ADAPT",,,,,,,3,"http://transport.mysociety.org/operators/2016"
2035,"Addison News","Addison News",,,,,,,3,"http://transport.mysociety.org/operators/2035"
3556,"AF Irvine","AF Irvine",,,,,,,4,"http://transport.mysociety.org/operators/3556"
1850,"AIRLYNX","AIRLYNX",,,,,,,2,"http://transport.mysociety.org/operators/1850"
2595,"Aitken Island Travel","Aitken Island Travel",,,,,,,3,"http://transport.mysociety.org/operators/2595"
2848,"AJ & NM Carr","AJ & NM Carr",,,,,,,3,"http://transport.mysociety.org/operators/2848"
3348,"Alasdair Macdonald","Alasdair Macdonald",,,,,,,2,"http://transport.mysociety.org/operators/3348"
3722,"Alastair MacDonald + Son","Alastair MacDonald + Son",,"X",,,"No online data found. ",,1,"http://transport.mysociety.org/operators/3722"
3126,"Albert Wilde","Albert Wilde",,,,,,,3,"http://transport.mysociety.org/operators/3126"
3680,"Alda's Minibus and Taxis","Alda's Minibus and Taxis",,"X",,"No 1 Kersavagh, Lochmaddy, Isle of North Uist, HS6 5AD","Trades as Alda's Taxis. No email found.",,1,"http://transport.mysociety.org/operators/3680"
2397,"Allens (Kent)","Allens (Kent)",,,,,,,4,"http://transport.mysociety.org/operators/2397"
3128,"Alpine","Alpine",,,,,,,3,"http://transport.mysociety.org/operators/3128"
3849,"Alston Road Garage","Alston Road Garage",,"X",,,"also known as Tallentire. No email found.",,1,"http://transport.mysociety.org/operators/3849"
3746,"Alton Towers Transport","Alton Towers Transport",,,,,,,5,"http://transport.mysociety.org/operators/3746"
3076,"Amberley & Slindon Community Bus","Amberley & Slindon Commu",,,,,,,6,"http://transport.mysociety.org/operators/3076"
2868,"AMK","AMK",,,,,,,6,"http://transport.mysociety.org/operators/2868"
3434,"Amvale","Amvale",,,,,,,3,"http://transport.mysociety.org/operators/3434"
